ID;Case Number;Date;Block;IUCR;Primary Type;Description;Location Description;Arrest;Domestic;FBI Code;Year;Updated On;Latitude;Longitude
10533875;HZ277348;05/24/2016 01:30:00 AM;028XX W 36TH PL;1320;CRIMINAL DAMAGE;TO VEHICLE;RESIDENCE-GARAGE;false;false;14;2016;05/31/2016 03:53:32 PM;41.827318971;-87.695799291
10533880;HZ277438;05/24/2016 05:00:00 AM;016XX N NORMANDY AVE;1310;CRIMINAL DAMAGE;TO PROPERTY;RESIDENCE-GARAGE;false;false;14;2016;05/31/2016 03:53:32 PM;41.909952753;-87.792370333
10533881;HZ277430;05/24/2016 09:00:00 AM;011XX W ARGYLE ST;0890;THEFT;FROM BUILDING;COMMERCIAL / BUSINESS OFFICE;false;false;06;2016;05/31/2016 03:53:32 PM;41.973267845;-87.658244449
10533882;HZ277264;05/24/2016 01:00:00 AM;008XX W 115TH ST;1310;CRIMINAL DAMAGE;TO PROPERTY;BANK;false;false;14;2016;05/31/2016 03:53:32 PM;41.685062487;-87.643539336
10533899;HZ277303;05/24/2016 08:00:00 AM;012XX S WABASH AVE;0860;THEFT;RETAIL THEFT;SMALL RETAIL STORE;true;false;06;2016;05/31/2016 03:53:32 PM;41.866810739;-87.625817031
10533907;HZ277480;05/24/2016 10:13:00 AM;032XX N LONG AVE;4625;OTHER OFFENSE;PAROLE VIOLATION;SIDEWALK;true;false;26;2016;05/31/2016 03:53:32 PM;41.939855909;-87.761636532
10533908;HZ277475;05/24/2016 10:00:00 AM;052XX N OAK PARK AVE;2826;OTHER OFFENSE;HARASSMENT BY ELECTRONIC MEANS;SCHOOL, PUBLIC, BUILDING;false;false;26;2016;05/31/2016 03:53:32 PM;41.976178538;-87.796348413
10533917;HZ277415;05/24/2016 06:55:00 AM;062XX S LANGLEY AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;false;false;14;2016;05/31/2016 03:53:32 PM;41.781734181;-87.608413399
10533919;HZ277238;05/24/2016 02:00:00 AM;108XX S EBERHART AVE;0820;THEFT;$500 AND UNDER;STREET;false;false;06;2016;05/31/2016 03:53:32 PM;41.697379826;-87.61105685
10533922;HZ277280;05/24/2016 08:20:00 AM;049XX N SHERIDAN RD;051A;ASSAULT;AGGRAVATED: HANDGUN;SIDEWALK;true;true;04A;2016;05/31/2016 03:53:32 PM;41.972013219;-87.654896586
10533925;HZ277465;05/24/2016 10:25:00 AM;001XX E WACKER DR;0560;ASSAULT;SIMPLE;HOTEL/MOTEL;true;false;08A;2016;05/31/2016 03:53:32 PM;41.888165132;-87.622937212
10533929;HZ277520;05/24/2016 03:00:00 AM;040XX W ADAMS ST;0810;THEFT;OVER $500;STREET;false;false;06;2016;05/31/2016 03:53:32 PM;41.877964619;-87.726764957
10533930;HZ277497;05/24/2016 09:00:00 AM;059XX N GLENWOOD AVE;1811;NARCOTICS;POSS: CANNABIS 30GMS OR LESS;SCHOOL, PUBLIC, BUILDING;true;false;18;2016;05/31/2016 03:53:32 PM;41.989243623;-87.665119726
10533933;HZ277291;05/24/2016 08:20:00 AM;087XX S ESCANABA AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;VEHICLE NON-COMMERCIAL;false;false;14;2016;05/31/2016 03:53:32 PM;41.736891466;-87.554190053
10533938;HZ277493;05/24/2016 10:48:00 AM;028XX W FIFTH AVE;0460;BATTERY;SIMPLE;SIDEWALK;true;false;08B;2016;05/31/2016 03:53:32 PM;41.880842128;-87.697125635
10533939;HZ277516;05/24/2016 11:00:00 AM;014XX N AVERS AVE;0520;ASSAULT;AGGRAVATED:KNIFE/CUTTING INSTR;APARTMENT;false;false;04A;2016;05/31/2016 03:53:32 PM;41.907257566;-87.722792049
10533940;HZ277457;05/24/2016 10:30:00 AM;076XX S BENNETT AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;false;true;08B;2016;05/31/2016 03:53:32 PM;41.7561488;-87.578531041
10533941;HZ277508;05/24/2016 03:00:00 AM;034XX W WALNUT ST;0486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;false;true;08B;2016;05/31/2016 03:53:32 PM;41.88545144;-87.711975161
10533944;HZ277239;05/24/2016 07:30:00 AM;006XX N ST LOUIS AVE;0497;BATTERY;AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON;STREET;false;true;04B;2016;05/31/2016 03:53:32 PM;41.892522149;-87.71378344
10533946;HZ277285;05/24/2016 08:25:00 AM;029XX W LEXINGTON ST;0820;THEFT;$500 AND UNDER;APARTMENT;false;true;06;2016;05/31/2016 03:53:32 PM;41.871936536;-87.699516064
10533950;HZ277498;05/24/2016 11:04:00 AM;047XX W IRVING PARK RD;0860;THEFT;RETAIL THEFT;DEPARTMENT STORE;true;false;06;2016;05/31/2016 03:53:32 PM;41.953436358;-87.746273229
10533951;HZ277562;05/24/2016 10:40:00 AM;010XX N LAVERGNE AVE;2024;NARCOTICS;POSS: HEROIN(WHITE);SIDEWALK;true;false;18;2016;05/31/2016 03:53:32 PM;41.899104491;-87.750800613
10533961;HZ277547;05/24/2016 11:40:00 AM;020XX N MILWAUKEE AVE;0860;THEFT;RETAIL THEFT;GROCERY FOOD STORE;false;false;06;2016;05/31/2016 03:53:32 PM;41.918570075;-87.690258545
10533969;HZ277599;05/24/2016 12:00:00 PM;047XX N LINCOLN AVE;0810;THEFT;OVER $500;CONSTRUCTION SITE;false;false;06;2016;05/31/2016 03:53:32 PM;41.967290296;-87.687705934
10533971;HZ277596;05/24/2016 08:10:00 AM;035XX W DIVISION ST;0890;THEFT;FROM BUILDING;OTHER;false;false;06;2016;05/31/2016 03:53:32 PM;41.90276543;-87.715131741
10533972;HZ277343;05/24/2016 07:57:00 AM;009XX N LOREL AVE;0820;THEFT;$500 AND UNDER;SIDEWALK;true;false;06;2016;05/31/2016 03:53:32 PM;41.897182888;-87.759394709
10533978;HZ277567;05/24/2016 11:40:00 AM;022XX N ELSTON AVE;0820;THEFT;$500 AND UNDER;STREET;false;false;06;2016;05/31/2016 03:53:32 PM;41.922198021;-87.673345116
10533981;HZ277615;05/24/2016 12:30:00 PM;011XX S CLARK ST;0860;THEFT;RETAIL THEFT;SMALL RETAIL STORE;true;false;06;2016;05/31/2016 03:53:32 PM;41.86821682;-87.6304532
10533985;HZ277586;05/24/2016 03:00:00 AM;037XX N HARDING AVE;0610;BURGLARY;FORCIBLE ENTRY;RESIDENCE-GARAGE;false;false;05;2016;05/31/2016 03:53:32 PM;41.948805958;-87.726049726
10533986;HZ277584;05/24/2016 12:00:00 PM;100XX S ABERDEEN ST;2820;OTHER OFFENSE;TELEPHONE THREAT;OTHER;false;false;26;2016;05/31/2016 03:53:32 PM;41.711417947;-87.650249296
10533987;HZ277585;05/24/2016 12:00:00 PM;061XX S BISHOP ST;1310;CRIMINAL DAMAGE;TO PROPERTY;RESIDENTIAL YARD (FRONT/BACK);false;false;14;2016;05/31/2016 03:53:32 PM;41.782447056;-87.660642136
10533993;HZ277506;05/24/2016 10:30:00 AM;025XX W ARGYLE ST;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE PORCH/HALLWAY;false;false;08B;2016;05/31/2016 03:53:32 PM;41.971876931;-87.692304122
10533998;HZ277482;05/24/2016 10:25:00 AM;040XX W LAKE ST;0460;BATTERY;SIMPLE;SIDEWALK;true;false;08B;2016;05/31/2016 03:53:32 PM;41.885496427;-87.726546823
10534006;HZ277395;05/24/2016 09:00:00 AM;071XX S JEFFERY BLVD;0860;THEFT;RETAIL THEFT;CONVENIENCE STORE;true;false;06;2016;05/31/2016 03:53:32 PM;41.765755571;-87.576292427
10534019;HZ277640;05/24/2016 12:55:00 PM;038XX W 69TH ST;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;false;false;14;2016;05/31/2016 03:53:32 PM;41.767797442;-87.718324387
10534023;HZ277570;05/24/2016 12:00:00 PM;040XX N LINCOLN AVE;0312;ROBBERY;ARMED:KNIFE/CUTTING INSTRUMENT;COMMERCIAL / BUSINESS OFFICE;false;false;03;2016;05/31/2016 03:53:32 PM;41.954802694;-87.679207203
10534030;HZ277631;05/24/2016 12:40:00 PM;075XX S EGGLESTON AVE;1811;NARCOTICS;POSS: CANNABIS 30GMS OR LESS;STREET;true;false;18;2016;05/31/2016 03:53:32 PM;41.757583114;-87.635689664
10534032;HZ277620;05/24/2016 12:20:00 PM;082XX S KEDZIE AVE;0460;BATTERY;SIMPLE;RESTAURANT;false;false;08B;2016;05/31/2016 03:53:32 PM;41.7433818;-87.702214689
