nb_objets,temps_arbo,temps_dyn,timeout
85,0.25832345800154144,0.26101070800359594,False
86,0.2581330000029993,0.25909979199786903,False
86,0.2597090420022141,0.26208649999898626,False
87,0.2573590000029071,0.26438687500194646,False
87,0.2843847080002888,0.2611292920046253,False
88,0.2649912909982959,0.25877775000117254,False
88,0.2596245419990737,0.3280211249948479,False
89,0.26003900000068825,0.26717412500147475,False
89,0.2610597079983563,0.28923624999879394,False
90,0.2655263330016169,0.2596006669991766,False
90,0.2807532919978257,0.2574666669970611,False
91,0.258534917003999,0.25592362500174204,False
91,0.2524878330004867,0.2561299590015551,False
92,0.2537628330028383,0.2666013749985723,False
92,0.2565391659954912,0.26138924999395385,False
93,0.27610537500004284,0.2593464999954449,False
93,0.2680103750026319,0.25886229099705815,False
94,0.2686503749937401,0.2582548329955898,False
94,0.25556574999791337,0.26088912499835715,False
95,0.26534791700396454,0.2583549580012914,False
95,0.2663771670049755,0.2594728329931968,False
96,0.257821667000826,0.2559681660059141,False
96,0.293113749998156,0.26362329199764645,False
97,0.2735502080031438,0.2631945419998374,False
97,0.2673414159944514,0.2606370830035303,False
98,0.260844916003407,0.25915570800134446,False
98,0.25618383300025016,0.2601804999940214,False
99,0.26867350000247825,0.2596282499944209,False
99,0.27045520799583755,0.3528452919999836,False
100,0.27450070799386594,0.2567923329988844,False
100,0.27386220799962757,0.25762845799908973,False
101,0.27128691699908813,0.2576139999946463,False
101,0.2615059169984306,0.25646941699960735,False
102,0.2543251249953755,0.25700062500254717,False
102,0.25993287500023143,0.2617406670033233,False
103,0.26789229199494,0.25798291700630216,False
103,0.2582180419994984,0.26048308399913367,False
104,0.27221308300067903,0.25691154199739685,False
104,0.2721695830041426,0.25703879199863877,False
105,0.26299845899484353,0.2578940829989733,False
105,0.2568394170011743,0.25741650000418304,False
106,0.2690442500024801,0.2580247500009136,False
106,0.25337108300300315,0.2576409590037656,False
107,0.2535562499979278,0.2578684170002816,False
107,0.25708887499786215,0.2575975829968229,False
108,0.25654437499906635,0.2581689170037862,False
108,0.25231308300135424,0.25745358399581164,False
109,0.2544094999975641,0.26027566600532737,False
109,0.25622645799739985,0.2573174999997718,False
110,0.2595661659943289,0.2583694999993895,False
110,0.2529440829966916,0.2577189170042402,False
111,0.2557126669998979,0.25786404099926585,False
111,0.26814433300023666,0.2567806669976562,False
112,0.27007050000247546,0.25692187499953434,False
112,0.26623845900030574,0.25689670800056774,False
113,0.25349691600422375,0.25755562499398366,False
113,0.26154062500427244,0.25771995799732395,False
114,0.2655562079962692,0.2573349170052097,False
114,0.256399790996511,0.2573903749944293,False
115,0.26497379200009163,0.2578030000004219,False
115,0.2595924580018618,0.2601043749964447,False
116,0.25629641600244213,0.2572260829983861,False
116,0.2569907910001348,0.25737787500111153,False
117,0.25532962499710266,0.2577530830021715,False
117,0.2533707080001477,0.25670212499971967,False
118,0.25430149999738205,0.2570015000019339,False
118,0.2540400829966529,0.25770487500267336,False
119,0.2605608750018291,0.25751908300298965,False
119,0.2516384169939556,0.2578750829998171,False
120,0.25283008399856044,0.25736124999821186,False
120,0.2602988330036169,0.2579474590020254,False
121,0.2652252500047325,0.25753266700485256,False
121,0.2518909589998657,0.25833220800268464,False
122,0.26689804199850187,0.257730833000096,False
122,0.26307412500318605,0.25761599999532336,False
123,0.2960983329976443,0.25755799999751616,False
123,0.25595091699506156,0.25873920799494954,False
124,0.26753337500122143,0.25884054099878995,False
124,0.25177395900391275,0.25794487499661045,False
125,0.2677669999975478,0.25735933300165925,False
125,0.26927316700312076,0.2578184170051827,False
126,0.2589529999968363,0.25764441700448515,False
126,0.2562012920025154,0.2583555829987745,False
127,0.2565098749983008,0.25754037499427795,False
127,0.25305274999846006,0.2573822080012178,False
128,0.27033600000140723,0.2576153339978191,False
128,0.258749832995818,0.2579944999961299,False
129,0.2541512910029269,0.2579521250008838,False
129,0.2532073330003186,0.3230604999989737,False
130,0.2599508749990491,0.2575228329951642,False
130,0.2772457500032033,0.25758945800043875,False
131,0.2708424579977873,0.2576179589959793,False
131,0.255331041997124,0.2578942089967313,False
132,0.2620092920042225,0.2580376249970868,False
132,0.2758566670017899,0.2578088339942042,False
133,0.25120708299800754,0.25827337500231806,False
133,0.25837379100266844,0.2576828329983982,False
134,0.25959891700040316,0.25812841700098943,False
134,0.25546929199481383,0.25791770900104893,False
135,0.2530684579978697,0.2579851670016069,False
135,0.2837143329961691,0.25878087500313995,False
136,0.2600795409962302,0.2584902079979656,False
136,0.256680165999569,0.2581467080017319,False
137,0.25412129199685296,0.2590794999996433,False
137,0.27327512500050943,0.2578128339955583,False
138,0.2514375419996213,0.25802808300068136,False
138,0.2617723749935976,0.2709420829996816,False
139,0.2633560419999412,0.25994400000490714,False
139,0.25175433399999747,0.2566249589945073,False
140,0.2633212500004447,0.25746724999771686,False
140,0.25038054100150475,0.25764641600108007,False
141,0.26851258300303016,0.2581164580042241,False
141,0.2582635420039878,0.2577535830059787,False
142,0.25301654200302437,0.2578387909961748,False
142,0.2530931670044083,0.25773587499861605,False
